date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:30:58	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Feb%202021%2022:30:59%20GMT	http://gtbucks.best/robots.txt		(from )
23:30:59	14121/14121	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2015:49:34%20GMT	http://gtbucks.best/	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/index.html	(from )
23:30:59	673/673	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jul%202020%2014:46:32%20GMT	http://gtbucks.best/images/fav.html	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/fav.html	(from http://gtbucks.best/)
23:30:59	757/757	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/css8a7c8a7c8a7c8a7c.css?family=Open+Sans:300,400,700	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/css8a7c8a7c8a7c8a7c8a7c.css	(from http://gtbucks.best/)
23:31:00	27714/27714	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/font-awesome.min.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/font-awesome.min.css	(from http://gtbucks.best/)
23:31:01	121242/121242	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/bootstrap.min.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/bootstrap.min.css	(from http://gtbucks.best/)
23:31:01	68796/68796	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/animate.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/animate.css	(from http://gtbucks.best/)
23:31:01	13987/13987	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/sweetalert2.min.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/sweetalert2.min.css	(from http://gtbucks.best/)
23:31:01	7946/7946	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/magnific-popup.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/magnific-popup.css	(from http://gtbucks.best/)
23:31:01	4250/4250	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/fancyselect.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/fancyselect.css	(from http://gtbucks.best/)
23:31:02	49903/49903	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/style.css	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/style.css	(from http://gtbucks.best/)
23:31:03	3634/3634	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/V-bucks.png	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/V-bucks.png	(from http://gtbucks.best/)
23:31:07	84380/84380	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/jquery.min.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/jquery.min.js	(from http://gtbucks.best/)
23:31:08	6778/6778	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/fancyselect.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/fancyselect.js	(from http://gtbucks.best/)
23:31:08	3761/3761	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/jquery.countto.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/jquery.countto.js	(from http://gtbucks.best/)
23:31:10	20305/20305	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/sweetalert2.min.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/sweetalert2.min.js	(from http://gtbucks.best/)
23:31:10	6055/6055	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/validator.min.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/validator.min.js	(from http://gtbucks.best/)
23:31:10	1469/1469	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:10%20GMT	http://gtbucks.best/images/form-scripts.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/form-scripts.js	(from http://gtbucks.best/)
23:31:11	200104/200104	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/jquery-ui.min.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/jquery-ui.min.js	(from http://gtbucks.best/)
23:31:12	21143/21143	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/jquery.magnific-popup.min.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/jquery.magnific-popup.min.js	(from http://gtbucks.best/)
23:31:12	20779/20779	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Mar%202020%2014:29:12%20GMT	http://gtbucks.best/images/sticky.js	C:/Users/blaki/Documents/Uni/Ricerca%20Operativa/vbucks/gtbucks.best/images/sticky.js	(from http://gtbucks.best/)
